id,type,label,degree,url,is_bridge,org_subtype
author_Arjun_Damerla1,author,Arjun Damerla,3,https://shonenmind.github.io/arjun_website/,,
author_Nathan_Choi1,author,Nathan Choi,3,https://nathans-portfolio-six.vercel.app/localhost_5126/index.html,,
author_Michael_Cardei1,author,Michael Cardei,3,https://openreview.net/profile?id=~Michael_Cardei1,,
author_Bhavya_Kailkhura1,author,Bhavya Kailkhura,3,https://people.llnl.gov/kailkhura1,,
author_Zora_Che1,author,Zora Che,3,https://zorache.github.io/,,
author_Summer_Yue2,author,Summer Yue,3,https://openreview.net/profile?id=~Summer_Yue2,,
author_Dan_Hendrycks1,author,Dan Hendrycks,3,https://openreview.net/profile?id=~Dan_Hendrycks1,,
author_Damon_Falck1,author,Damon Falck,3,http://damonfalck.me,,
author_Stephen_Casper1,author,Stephen Casper,3,https://stephencasper.com/,,
author_Zhenghong_Zhou2,author,Zhenghong Zhou,3,https://openreview.net/profile?id=~Zhenghong_Zhou2,,
author_Zijun_Song2,author,Zijun Song,3,https://github.com/ZijunSong,,
author_Changwen_Zheng1,author,Changwen Zheng,3,http://people.ucas.ac.cn/~cwzheng,,
author_Linhai_Xie1,author,Linhai Xie,3,https://openreview.net/profile?id=~Linhai_Xie1,,
author_Tina_Hernandez_Boussard1,author,Tina Hernandez-Boussard,3,https://med.stanford.edu/boussard-lab.html,,
author_Eun_Ro1,author,Eun Ro,3,http://www.gojuly.ai,,
author_Yang_Chung1,author,Yang Chung,3,https://openreview.net/profile?id=~Yang_Chung1,,
author_Steven_Basart1,author,Steven Basart,3,http://stevenbas.art,,
author_Rohit_Gandikota1,author,Rohit Gandikota,3,https://rohitgandikota.github.io/,,
author_Andrew_Bo_Liu1,author,Andrew Bo Liu,3,https://abliu.github.io/,,
author_Alex_Kleinman1,author,Alex Kleinman,3,https://openreview.net/profile?id=~Alex_Kleinman1,,
author_Hanna_Krasowski1,author,Hanna Krasowski,3,https://hanna.krasowski.io,,
author_Mikolaj_Kniejski1,author,Mikolaj Kniejski,3,https://openreview.net/profile?id=~Mikolaj_Kniejski1,,
author_Mohan_Kankanhalli1,author,Mohan Kankanhalli,3,https://www.comp.nus.edu.sg/cs/people/mohan/,,
inst_Shahjalal_University_of_Science_and_Technology,institution,Shahjalal University of Science and Technology,3,https://sust.edu,,
inst_University_of_Virginia__Charlottesville,institution,"University of Virginia, Charlottesville",3,https://virginia.edu,,
inst_Syracuse_University,institution,Syracuse University,3,https://syr.edu,,
inst_Google,institution,Google,3,https://www.google.com,,
inst_Amazon,institution,Amazon,3,https://amazon.com,,
inst_MATS,institution,MATS,3,https://www.matsprogram.org,,
inst_Eberhard_Karls_Universit_t_T_bingen,institution,Eberhard-Karls-Universität Tübingen,3,https://uni-tuebingen.de,,
inst_Google_DeepMind,institution,Google DeepMind,3,https://deepmind.google,,
inst_Anthropic,institution,Anthropic,3,https://www.anthropic.com,,
inst_UK_AI_Security_Institute,institution,UK AI Security Institute,3,https://dsit.gov.uk,,
inst_Tsinghua_University,institution,Tsinghua University,3,https://www.tsinghua.edu.cn/en/,,
inst_Technical_University_of_Munich,institution,Technical University of Munich,3,https://www.tum.de,,
inst_LMU_Munich,institution,LMU Munich,3,https://www.lmu.de,,
inst_RAND_Corporation,institution,RAND Corporation,3,https://rand.org,True,
program_global_aid_policy,program,Global Aid Policy,3,https://www.openphilanthropy.org/grants/,,
program_global_catastrophic_risks,program,Global Catastrophic Risks,3,https://www.openphilanthropy.org/focus/global-catastrophic-risks/,,
